Appliance Name,Appliance Category,Price
Samsung French Door Refrigerator,Refrigerator,1999.99
LG Side-by-Side Refrigerator,Refrigerator,1799
Whirlpool Top Freezer Refrigerator,Refrigerator,899.99
GE Profile Wall Oven,Oven,1199.5
Bosch 800 Series Dishwasher,Dishwasher,1099
Maytag Front Load Washer,Washing Machine,799.95
KitchenAid Built-In Microwave,Microwave,449.99
Frigidaire Window Air Conditioner,Air Conditioner,349
Dyson Pure Cool Fan,Heater,549.99
Ninja Foodi Blender,Blender,129.95
Breville Smart Oven Air Fryer,Oven,399.99
Shark Navigator Vacuum,Vacuum Cleaner,299.5
Instant Pot Duo 7-in-1,Pressure Cooker,99.95
Kenmore Elite Dryer,Dryer,699
Hamilton Beach Toaster,Toaster,39.99
Cuisinart Coffee Maker,Coffee Maker,79
DeLonghi Espresso Machine,Small Appliance,499
Sunbeam Heating Pad,Heater,29.99
Black+Decker Food Processor,Food Processor,89.5
GE Over-the-Range Microwave,Microwave,299
LG Stackable Washer/Dryer Combo,Washing Machine,1499
Samsung Bespoke Refrigerator,Refrigerator,2199
Miele Compact Dishwasher,Dishwasher,1599
Toshiba Mini Fridge,Refrigerator,199.95
GE Cafe Double Oven,Oven,1799.99
Beko Heat Pump Dryer,Dryer,899
Panasonic Inverter Microwave,Microwave,179
Haier Portable Air Conditioner,Air Conditioner,499.99
Oster Countertop Blender,Blender,59.99
Keurig K-Classic Coffee Maker,Coffee Maker,119
Dyson Ball Animal Vacuum,Vacuum Cleaner,449
Zojirushi Rice Cooker,Small Appliance,159.95
GE Profile Refrigerator,Refrigerator,2499
Whirlpool Top Load Washer,Washing Machine,599.99
KitchenAid Pro Line Toaster,Toaster,249
LG Smart ThinQ Oven,Oven,699
Frigidaire Gallery Dishwasher,Dishwasher,749.5
Broan Range Hood,Ventilation,399
Honeywell QuietSet Fan,Heater,89.99
Crock-Pot 6-Quart Slow Cooker,Slow Cooker,49.95
Samsung WindFree Air Conditioner,Air Conditioner,799
Breville Juice Fountain,Juicer,199
Maytag Commercial Washer,Washing Machine,1299
Ninja Foodi Pressure Cooker,Pressure Cooker,169.99
Bosch 500 Series Refrigerator,Refrigerator,1899
GE UltraFresh Vent Dryer,Dryer,899.95
Lasko Ceramic Heater,Heater,59
Vitamix Explorian Blender,Blender,349.95
Hamilton Beach Slow Cooker,Slow Cooker,39.99
Sharp Over-the-Range Microwave,Microwave,229
Samsung Compact Washer,Washing Machine,499
KitchenAid Dishwasher,Dishwasher,1349
LG Smart Inverter Microwave,Microwave,279.99
Frigidaire Mini Fridge,Refrigerator,159
Dyson Hot+Cool Fan,Heater,549
Cuisinart Griddle,Small Appliance,79.95
GE Portable Dishwasher,Dishwasher,449
Black+Decker Hand Vacuum,Vacuum Cleaner,69.99
Breville Barista Express,Espresso Machine,699.95
Maytag Gas Dryer,Dryer,749
Oster Bread Machine,Bread Maker,129
Panasonic FlashXpress Toaster,Toaster,89.95
Whynter Portable AC,Air Conditioner,599
Samsung Bespoke Oven,Oven,1399
LG QuadWash Dishwasher,Dishwasher,899
Ninja Coffee Bar,Coffee Maker,149.99
Frigidaire Gallery Refrigerator,Refrigerator,1699.5
GE Cafe Microwave,Microwave,399
KitchenAid Stand Mixer,Small Appliance,429
Dyson Pure Hot+Cool,Heater,699
Bosch 800 Series Oven,Oven,2199
Maytag Top Load Washer,Washing Machine,699.95
Breville Smart Air Fryer,Air Fryer,299
Hamilton Beach FlexBrew Coffee Maker,Coffee Maker,109
LG Smart Cooling AC,Air Conditioner,899.99
Samsung Water Filter Fridge,Refrigerator,2299
Whirlpool Ice Maker,Ice Machine,349
Cuisinart Compact Toaster Oven,Oven,129.95
Frigidaire Electric Dryer,Dryer,649
Ninja Foodi Grill,Grill,229
GE Profile Dishwasher,Dishwasher,1299
Black+Decker Handheld Steamer,Steamer,49.99
KitchenAid Food Processor,Food Processor,279
LG Styler Steam Closet,Steam Closet,1499
Miele Compact Washer,Washing Machine,1799
Panasonic Microwave Oven Combo,Microwave,499.95
Shark Rocket Vacuum,Vacuum Cleaner,199
Breville Smart Waffle Maker,Waffle Maker,129.99
Samsung Bespoke Dryer,Dryer,1099
GE French Door Refrigerator,Refrigerator,2099
Whirlpool Countertop Dishwasher,Dishwasher,549
Dyson Cyclone Vacuum,Vacuum Cleaner,399.95
Ninja Hot & Cold Brew System,Coffee Maker,179
Frigidaire Window AC,Air Conditioner,279
LG InstaView Refrigerator,Refrigerator,2599
Cuisinart Ice Cream Maker,Ice Cream Maker,149
Hamilton Beach Electric Kettle,Kettle,34.99
Maytag Commercial Dryer,Dryer,1199
KitchenAid Built-In Coffee Maker,Coffee Maker,599
Breville Joule Sous Vide,Sous Vide,199.95
Bosch 300 Series Dishwasher,Dishwasher,899
GE UltraFast Blender,Blender,159
Samsung AirDresser,Steam Closet,799
Black+Decker Toaster Oven,Oven,79.99
LG Smart Cooling Fan,Heater,199
Frigidaire Counter-Depth Refrigerator,Refrigerator,1799.95
Ninja Foodi 10-in-1,Oven,279
Shark Vertex Vacuum,Vacuum Cleaner,349
Cuisinart Griddler,Grill,129
